input,output,target_ie,target_ns,target_tf,winner_ie,winner_ns,winner_tf
Jealousy can often lead to pushing away the person you're worried about losing.,jealousy is the surest way to get rid of the very person you are afraid of losing .,E,N,F,Output,Output,Output
It can be strange when someone sees beauty in you that you don't see in yourself.,it's weird when someone see's beauty in you that you don't see in yourself .,E,N,F,Output,Input,Input
"Instead of just complaining, consider doing something about it.","instead of just complaining , do something about it .",E,N,F,Output,Input,Input
"That sounds like a busy life, do you train your Pokémon on the go?","that hi life woah , do you train your pokemon on the go ?",E,N,F,Output,Input,Input
My coworker listens to that podcast too.,my coworker listens to that podcast too !,E,N,F,Output,Output,Output
How are you going to wake up for work?,ahh how are you going to wake up for work ?,E,N,F,Output,Input,Output
I'll be in SoCal next week.,>:P aw i'll be in socal next week !,E,N,F,Output,Input,Output
Tom Watson did well in talent.,tom watson killed it in talent !,E,N,F,Output,Input,Output
"I spent Tuesday night supporting a sorority philanthropy, and I missed you.",no better way to spend a tuesday night than supporting a sorority philanthropy miss you more !,E,N,F,Output,Input,Output
And my big Scotty seemed to do fine.,and my dear big . scotty killed it !,E,N,F,Output,Output,Output
It might help to communicate more; the others go to happy hours to drink.,"you should communicate more , bros have drink to all the happy hours !",E,N,F,Output,Input,Input
"Windows down, sun shining, time to be productive.","windows down , sun shining time to be productive !",E,N,F,Output,Output,Output
"Alright, happy birthday — I need to sample it and spit, there's another Jager bomb at the bar for you but it's okay since you're big, you have cats, that remix of 'So High' is kind of cute, if I could stop hiccuping that would be nice, it's Zac, he's the gay one and throwing MMW in New Brunswick, still drunk.","alright happy birthday fucker i need to sample it and spit you have another jager bomb on this bar for you asshole but you're huge so its fine you have cats that remix of "" so high "" though stop its so cuteeee if i could stop hiccuping that'd be a + its zac , zacs the gay one * throws mmw in new brunswick * still drunk .",E,N,F,Output,Input,Input
"Brita, I'm heading to class right now and feeling kind of overwhelmed; it's really good though, I don't like Toms and it seemed like an extreme overreaction, how so?",brita how am i going to class right now actually actual same i think i'm gonna die fr fr its sooooOoOoOooOoOo good i hate toms it was an act of terrorism how so .,E,N,F,Output,Input,Output
It seemed like he crashed the plane on purpose.,he literally crashed the plane on purpose .,E,N,F,Output,Input,Input
"It seems odd that an article would say 'no terror suspected' while also reporting the pilots 'deliberately crashed the plane,' so how can both phrases appear in the same piece?","answer the question mature not really something to make light of charles whatever how is "" no terror suspected "" when the pilots "" deliberately crashed the plane "" how can both of those phrases be in the same article ? ?",E,N,F,Output,Input,Output
Is this song kind of like a pothead version of PLUR?,is this song like the pothead version of plurhttps :/ .,E,N,F,Input,Input,Input
"I did it, so you probably can too.","i did it , therefore you can do it .",E,N,F,Input,Output,Input
I hope to be as gracious to people as God is.,may i be gracious with people as god is with me .,E,N,F,Output,Input,Input
Do you want me to bring anything along?,do you want me to bring anything ?,E,N,F,Input,Input,Input
You could come visit here.,you guys should come here to visit .,E,N,F,Output,Input,Output
I have class the night you're coming to Gordon College.,i have class on the night you're coming at gordon college .,E,N,F,Output,Output,Output
"people say i'm charming and smooth with women, and i said stop talking to my friend or i'd do something violent; i was just reacting, green bean, oh, yeah man.","i'm known for my charming sensibility and my suaveness with the babes aka you stop talking to my friend before i chop off your manhood i do what , green bean ohhhh , yeh mane .",E,N,F,Output,Output,Output
It's a bit disappointing that everyone else on summer staff is already at camp and I'm not.,it's making me sad that everyone else on summer staff is at camp already and i'm not .,E,N,F,Output,Input,Output
"I'll miss you all this summer; goodnight, Twitter.","i'm gonna miss you guys this summer :'( goodnight , twitter .",E,N,F,Output,Input,Output
A small kitten keeps showing up in our garage.,there is a small kitten that keeps appearing in our garage .,E,N,F,Input,Output,Input
"Run fast for your mother and father, I want you to be safe, tie it to a tree and say it belongs to me before putting it away, stay calm and keep cool in this weather since I don't want you to get burned, aim high because you're appreciated, and I see that what seems ordinary to you isn't the same to me, but I like both.","run fast for ya motha and fast for ya fatha lol love you green bean tie it to a tree tell it you belong to me locked away in permanent slumber stay trill , and stay chill in zis weather wouldnt want to see you burnt aladdin , love ya , shoot for the stars you da real mvp smh you a fool ' s man be like because a kitchen sink to you is not a kitchen sink to me i like both of those !",E,N,F,Output,Input,Input
a day to celebrate how much i care about my girlfriend.,a day to celebrate how much i love my girl !,E,N,F,Output,Output,Output
Thanks for everything you did last summer; it made me notice how beautiful you are.,thank you for all you did last summer you opened my eyes to how beautiful you are .,E,N,F,Output,Output,Output
It seems you've helped me become a bit better.,you have changed me for the better .,E,N,F,Output,Input,Input
"As citizens of this country, we'll continue until he meets his end.",as citizens of this great nation we will stop at nothing until he faces his demise ! !,E,N,F,Output,Output,Output
"No need to cry it's over, you can smile it happened.","don't cry cause it's over , smile cause it happened .",E,N,F,Input,Input,Input
"It says to trust in the Lord with all your heart and not to rely on your own understanding, and I'm not Jewish, but I like these videos.","Trust in the LORD with all your heart and lean not on your own understanding I'm not Jewish, but I like these videos.",E,N,F,Output,Output,Output
I've changed how I look at my life.,I've changed the way I look at my life.,E,N,F,Input,Output,Output
It would be helpful to understand them.,I wish I could understand them.,E,N,F,Input,Output,Output
My whole life kind of feels like deja vu.,My whole life feels like deja vu.,E,N,F,Output,Input,Output
I keep doing things that make my pain worse and that hurt me.,"Salt my wounds, chlorine my eyes, I'm a self-destructive fool, a self-destructive fool.",E,N,F,Input,Output,Output
People need to vent to someone sometimes.,"Trust me, everyone needs to vent to someone sometimes.",E,N,F,Output,Output,Output
You don't have to tell who you're mad at; tell someone how you feel.,"Not necessarily the person your mad at, just tell someone how you feel.",E,N,F,Input,Output,Input
"If you could have any superpower, which one would you choose?","If you could have any super power, what would it be?",E,N,F,Input,Output,Output
Be as creative as you want.,Be as creative as you like.,E,N,F,Input,Input,Output
You can tell everyone why if you want.,Feel free to tell everyone why if you want to!,E,N,F,Output,Output,Output
"Obsession is usually seen as a negative state of mind, while passion is seen as a more positive feeling or interest.","I think that obsession concerns a negative state of mind, while passion is considered a good feeling or interest.",E,N,F,Output,Output,Output
I'm studying psychology at university and I'm interested in neuropsychology.,"I'm a student of psychology at university, in specific I'm interested in neuropsychology.",E,N,F,Output,Input,Input
It also depends on who you hang out with.,It depends also on the people who you hang out with!,E,N,F,Output,Input,Output
I've been listening to this song for a long time.,I've listened to this song for sooo long!!,E,N,F,Output,Output,Output
"I always look forward to holidays, but when they arrive I don't really enjoy them, and afterwards I end up saying I need a holiday.","I'm always waiting for holidays, then when holidays come I hate them, and when they are over I use to say I need a holiday !",E,N,F,Input,Input,Output
"We are s, we're original, and we seem to be among the more creative types.","We are s, we are ORIGINAL, the most CREATIVE of all types.",E,N,F,Output,Input,Input
"Could we come up with a more creative, original name that represents us?","Can't we come up with a more artistic, original, creative name that represents us?...",E,N,F,Output,Output,Output
We could open a thread for suggestions.,We can open a thread for suggestions.,E,N,F,Output,Input,Input
"Which season do you prefer, and why?",Whats your favorite season and why?,E,N,F,Output,Input,Output
"Yes, I'd like to be a healer and help mend someone's heart.","Yes, I would love to be a healer, to heal someone's heart, to help someone...",E,N,F,Output,Output,Output
"If you stay true to yourself even if that self isn't a good person, you'd still be authentic.","If you are true to yourself, but yourself happens to be a shitty person, you're still authentic.",E,N,F,Output,Input,Input
Unless you're aiming for some ideal in your head that you feel you should match?,Unless you are striving for an ideal in your head that you think you should be like?,E,N,F,Input,Input,Input
I'm more interested in hearing what people assume I do in private.,I'm more interested in hearing what people think I do behind closed doors.,E,N,F,Input,Output,Input
What if they don't seem to be in touch with their feelings?,What if they aren't in touch with their feelings?,E,N,F,Output,Input,Output
I need someone to make me a meal plan because I can't tell if I'm hungry.,I actually have to have someone make me a meal plan because I have no idea if I'm hungry or not.,E,N,F,Output,Output,Input
"Lately, talking to people is the only thing that helps me feel better.","Honestly, the only thing that makes me feel better these days are talking to people.",E,N,F,Input,Input,Output
"I don't know if you're outgoing, but you could try meeting some new people on the internet.","I'm not sure if you're outgoing, but try and get out there and meet some new friends even on the internet.",E,N,F,Output,Output,Output
"I write, sing, make music and draw, but what I mostly want to do is work in film and write screenplays.","I write, sing and make music and also draw, but what I really want to do is film and screenwriting.",E,N,F,Input,Output,Output
"It seems like more people should pay attention to politics and social justice right now, given how things are in the U.S.",I'm really interested in politics and social justice and given the current state of the U.S I think everyone should lol.,E,N,F,Output,Input,Output
"I've kept a notebook since I was a child to write down ideas, and I find they're usually useful.","I've always had a notebook since I was a child really to write down ideas that come to me, and I find they're usually quite good!",E,N,F,Output,Output,Output
I might want to be friends.,I'll want to be your friend instantly.,E,N,F,Output,Input,Output
I did volunteer work for several nonprofits in my spare time.,I volunteered in many nonprofits in my spare time.,E,N,F,Output,Output,Input
I have several interests and I change my mind pretty often.,I have multiple callings and I change my mind all the time.,E,N,F,Input,Output,Output
"If my basic needs are met, I can manage to try something new.","As long as my basic needs are met, I can push myself to try something new.",E,N,F,Output,Output,Input
"Being a jack of all trades and a master of none might seem negative, but I appreciate the variety.","I am a jack of all trades, master of none, which may sound like a bad thing but I love all the variety.",E,N,F,Output,Output,Output
The tone of this thread is nice.,I'm loving the tone of this thread.,E,N,F,Output,Output,Output
"Most of my friends are women and a few gay men, which is fine, but I don't really have anyone to talk to about the new girl I have a crush on every week.","Most of my friends are girls and a few gay guys which I'm fine with, except for the fact that I don't really have anyone to talk to about the new girl that I fall in love with every week.",E,N,F,Input,Output,Output
"I like women's and men's fashion and often want to compliment strangers on their style, but I usually don't because I'm hesitant.","I love women's and men's fashion and I always get the urge to compliment random people I see on their style, but I usually don't because I'm afraid to.",E,N,F,Output,Input,Output
"My journals tend to be stream-of-consciousness and sometimes just venting, but if someone likes that I'd be willing to share and would be interested in reading other people's journals.","My journals tend to be very stream-of-consciousness and sometimes just me venting but if that's what someone's into I'd love to share, and I'd also love to read other people's journals!",E,N,F,Output,Output,Output
"I value getting to know someone's deeper emotions, motivations, and fears or insecurities.","I do highly value getting to know someone's deeper emotions, their motivations, their fears and insecurities.",E,N,F,Output,Input,Output
It seems like you're doing the best you can.,You *are* doing the best you can!,E,N,F,Output,Input,Output
You can keep doing the good work for as long as you want.,Keep up the good work for as long as you want!,E,N,F,Output,Input,Output
Part of being there for someone is listening to what they want and respecting that.,"Part of how you can ""be there"" for someone is listening to what they want and respecting it.",E,N,F,Output,Output,Input
"It seems like she doesn't need my help with the breastfeeding part, but I still want her to feel supported and understood.","I sincerely believe that she doesn't need my help with the breastfeeding part of it, but I want her to feel supported and understood.",E,N,F,Output,Output,Input
"I would have liked fuzzy slippers or comfy pants, and some Harry Potter kitsch would have been nice too.","I would have loved fuzzy slippers, or comfy pants, but I'm also a huge Harry Potter nerd who would have loved some kitsch.",E,N,F,Output,Output,Output
"I retweeted The Vamps first, and my brother was being annoying — he actually thought I'd use his account with only ten followers; the Vamps stuff reminded me of your interview and 'Boom Clap,' and though I joked they were being silly, I kind of ship them and think they might have broken up, but I wasn't upset since Connor and Tristan were the ones I cared more about, and it's just a sibling thing with him tweeting from my account.",i retweeted first the vamps my brother is an idiot he actually thinks i would go on his account when he has ten followers the vamps the vamps toe purview cheju the vamps this reminds me too much of your interview the vamps boom clap the vamps is an idiot the vamps hahahah no the vamps i dunno i kind of ship it the vamps i think they've broken up the vamps haha i think i'm not upset cause in more of a connor and tristan girl my brothers on my account tweeting crap the vamps it's a sibling thing the vamps shut up go away wanna know a the vamps hater ?,E,N,F,Output,Input,Input
"I want to grow a beard when I'm older, and I figured the vamps would be quieter.",i want to grow a beard when i'm older the vamps shut up mate .,E,N,F,Output,Input,Input
"This message references 'Somebody to You' and keeps repeating The Vamps, mentioning voting for them and saying they love them, noting fandom excitement about trending and new icons and headers, and mixing in diary-style or song-like lines about legs like Beyoncé, looks like Rihanna, pleading for Cecelia to come home, asking why she's following and if she knows she's ""golden.""","haha somebody to you reference ^ ^ the vamps exactly the vamps vote for the vamps the vamps finally the vamps love you xxx the vamps damn i love this fandom see we're trending and yay the vamps yay new icon the vamps yay new header hahah the vamps i need to out this in charge bye oh and i live you xxx the vamps dear diary , i want to make a new entry the vamps she got legs like Beyonce the vamps give me the eye like rihhhhana the vamps oh cecelia i'm down on my knees i'm begging you please to come home the vamps why are you following me the vamps cecelia your breaking my heart the vamps i'm begging ya please to come home the vamps don't you know that you are golden , golden ?",E,N,F,Output,Input,Output
"It's the Vamps, so could you smile for me; high hopes for me and you.","the vamps so won't you smile for me the vamps hiiiigh hopes , me and you .",E,N,F,Input,Input,Input
"The vamps seem like another universe, and the stars will light the way just for us.","the vamps another universe , the stars will light the way for just us .",E,N,F,Input,Input,Input
"The end of episode 15 of School 2013 was kind of surprising; the song is ridiculous but enjoyable, it's 76 out and hot, and it's cute, which I sometimes forget.",the end of ep 15 of school 2013 ? ? ho ly shit ? ? this sure is a thing that song is so ridiculous but i love it it does that yea its 76 out what to heck its so hot im gonna punch myself in the face this is so cute sometimes i forget .,E,N,F,Output,Input,Output
"I found out the soda I drink has caffeine, they're having a pillow fight, I'm deleting this show, I used an eyes emoji, my hair's getting too long, I used to post bad selfies all the time but I'll try to post more, I'm pretty sure the only other selfie I've posted on this account is the one where I was bundled in a blanket watching Super Junior, that feeling when you don't expect your selfie to get many likes but it does, we pressed our cheeks together and waved our hands, my hair used to be about ear length and now it's too long and I want it gone, I held Zoe's hands, I'm glad she likes Yixing, he seems like a nice, upbeat person, and I just asked myself which VIXX song goes 'what you waiting for' and realized it's theirs.",that the soda i drink has caffeine in it they're having a pillow fight im deleting this show lrt eyes emoji my hair's getting too long om g i used to post shitty selfies all the time om well i will try 2 post more im p sure the only other selfie ive posted on this acct is the one where i was bundled up in a blanket watching suju ofd that me tfw u don't expect ur selfie to get a lot of faves but it does presses our cheeks together waves hands idk my hair used to be like ? ear length and now it's too long and i want it gone holds zoe's hands i'm so glad she likes yixing everyone should like yixing he's a beautiful ray of sunshine aaaah i just asked myself which vixx song goes ' what u waiting for ' but it turns out it's their song .,E,N,F,Input,Input,Output
"It seemed odd that School 2013 would add more conflict with only about twenty minutes left, someone was winking and making finger-gun gestures, I'm wondering where Kate is since I just finished School 2013 and remembered getting into AKMU after seeing a picture of Chanhyuk with pink glasses, I liked Gay Dodgeball and it stuck with me, I wanted to hug them and hold their hands, I'm a bit sad and wondering if Jungho is okay because I was watching Sortwim and missed some of it, and that MV made me nervous.",what u waiting for winks & amp ; finger guns how can school 2013 be introducing more conflict there's only like 20 mins left calm down where's kate i just finished school 2013 and im screaming tbt when i got into akmu literally only bc i saw a pic of chanhyuk with pink glasses i fucking loved gay dodgeball it changed my life wraps my noodle arms around u im so sad kate where's jungho is he doing alright hello shab wraps my limbs around all of them omvg holds ur hands i will anticipate what did i miss i was watching sortwim om what this makes me nervous that mv was a fucking .,E,N,F,Output,Output,Output
Does anyone remember P-waves and S-waves and stuff?,anybody remember p waves and s waves and stuff ?,E,N,F,Output,Input,Output
It seems the only way out is to levitate.,the only way to escape is levitate lol .,E,N,F,Output,Input,Output
Are you still going to New York this weekend?,u still goin to ny this weekend ?,E,N,F,Output,Input,Input
"If everyone worked four days a week, five hours a day, then everyone could have a job.","if we all worked only 4 days a week 5 hours a day , then everyone is employed .",E,N,F,Output,Input,Input
How are we going to defend them if we don't have a capable space program?,and how are we gonna defend them if we dont have a kickass space program ?,E,N,F,Output,Input,Input
Is it too early to order a pizza?,is is too early to order a pizza ?,E,N,F,Input,Input,Input
I just received a package from someone named Ding Dong.,did i really just get a package from a guy named ding dong ?,E,N,F,Output,Input,Output
"He's cute until he wakes you up by chewing on your fingers, Iggy.",he's cute until he wakes you up by chewing your fingers off iggy !,E,N,F,Output,Output,Input
I dreamed about spring last night.,i had a dream about spring last night ....,E,N,F,Output,Output,Output
It's supposed to be 36 degrees today.,it's supposed to be 36 degrees today ....,E,N,F,Output,Output,Output
I need to like several things at once to stay busy.,i have to love lots of things at once to keep busy .,E,N,F,Input,Input,Output
I'm working on about five embroidery pieces at a time.,working on about 5 embroideries at a time .,E,N,F,Input,Input,Input
I said it because I felt it and wanted to.,i say things bc i feel it and i wanted to .,E,N,F,Input,Output,Output
I hope everyone feels some happiness tonight and sleeps soundly; I'd like that.,i hope everyone feels some sort of happiness tn and sleeps soundly bc i want that .,E,N,F,Input,Input,Input
"I feel uncomfortable in some situations, so I usually don't get involved.","i get so uncomfortable in certain situations , i don't have the heart to meddle .",E,N,F,Input,Input,Output
"You can call me a swear word, girl.","let me be your swear word , girl .",E,N,F,Output,Output,Output
New Found Glory's new album sounds good on my sound system.,new found glory's new album is kicking all sorts of ass over my sound system .,E,N,F,Output,Output,Output
These are making me happy right now.,all of these are making me so happy right now .,E,N,F,Output,Output,Output
"At first I thought I was accepting that love didn't exist, but now it seems clear that it does.","~ at first i thought i was coming to terms with love being nonexistent , but it's clear to me that it exists .",E,N,F,Output,Input,Output
I'm planning to write a song about giraffes.,i'm going to write a song about giraffes .,E,N,F,Output,Input,Input
I hope she does; I still need a death scene to write.,"noooo i hope she does , i still need a death scene to write .",E,N,F,Output,Output,Output
"You can come back into my life, Missy Sauga; I'm fine.",come back into my life missy sauga im good !,E,N,F,Output,Input,Output
I feel kind of like a loaf and think I just ate 40 strawberries.,i am a loaft i think i just ate 40 strawberries yeah !,E,N,F,Output,Input,Input
"Life of Pi has 53 chapters, and I'll finish them.","53 chapters of life of pi , i will finish you .",E,N,F,Output,Input,Output
"I thought we were each other's only friends, though.",i thought we were both our only friends tho .,E,N,F,Output,Input,Input
"If you're American, you might put your country first.",If you are an American you should put your country first.,E,N,T,Output,Input,Output
It's not more inclined toward math than other subjects; it just uses mathematical reasoning in everything it does.,"The is not inclined towards math more than any other subject, it just applies the rationality of mathematics towards everything it does.",E,N,T,Input,Input,Input
"My dream is to be a CEO or world leader and have a 19-year-old personal assistant who handles research, writes my speeches, and does the mental math.",Please answer my question here: dream is to be like a CEO or a world leader and have a hot 19 year old personal assistant who does all my research for me and writes my speeches and does my mental math.,E,N,T,Input,Input,Input
"First thing I noticed is that the salary graph isn't scaled to zero, and people seem to be accepting the misleading presentation.","First thing I noticed is that the salary graph is not scaled to 0, while you feelers dumbos are eating this misleading shit up.",E,N,T,Output,Input,Input
It seems like you're putting a lot of emphasis on personality type; MBTI doesn't explain everything.,"You are putting too much importance on personality type, not everything can be explained by the MBTI.",E,N,T,Output,Input,Output
Maybe try looking up what Jung said about the functions instead of relying on those other sources.,Well then how about you bother research what Jung said about the functions instead of those other sources?,E,N,T,Output,Output,Output
I usually question how authoritative more obscure sources seem.,I tend to question the authority of sources that are more obscure.,E,N,T,Output,Input,Input
Having to be politically correct or follow acceptable ways feels a bit inconvenient.,Well it does bother me having to stay politically correct or doing things in an acceptable way.,E,N,T,Output,Input,Input
"If there's one function I don't understand, it's Fi.","If there's one function I'll NEVER understand, that's Fi.",E,N,T,Output,Input,Input
I often don't pay attention to how my body feels.,I tend to ignore how I feel physically.,E,N,T,Output,Input,Output
It seems that education doesn't necessarily equal intelligence.,"As an autodidact, I can say without certainty that education =/= intelligence.",E,N,T,Output,Input,Output
It seemed to fit me since I tend to be fairly cerebral.,I felt that this fit me as I am fairly cerebral.,E,N,T,Output,Output,Output
"After more healing and therapy, my true self seems more like an 8.",With more healing and therapy my true self is much more 8-like.,E,N,T,Output,Input,Output
People who don't seem to take responsibility for themselves.,People who do not assume responsibility for themselves.,E,N,T,Input,Input,Output
"When I'm working out ideas in my head, I use my whiteboard and gesture to myself.",When I'm working out ideas in my head I'll use my whiteboard and gesture to myself while thinking.,E,N,T,Input,Output,Input
Could you pay attention to what's going on?,"Dear friend, Please, pay attention to what's going on.",E,N,T,Output,Output,Input
Thinking about doing something isn't the same as actually doing it.,Dreaming about doing things isn't the same as doing them.,E,N,T,Input,Output,Input
Your power comes from putting knowledge into action.,The execution of knowledge is where your power lies.,E,N,T,Input,Output,Output
