text,true_label,predicted_label,confidence
I honestly don't mind the 'loneliness' that would have came with extreme success/power.,E,I,0.66
I have learned to really control my 'urges'.,E,I,0.62
"I live in a world full of people, and to me, people are what make things happen.",E,E,0.78
"They have a coaching program designed for freshmen to adjust to ASU life, but they also can act as a sort of student advocate in these types of situations.",E,E,0.65
"If nothing else, they'll know exactly what direction to point you in to get this resolved.",E,E,0.62
You absolutely need to let ASU administration know about this.,E,E,0.68
I've worked with the ASU student resources departments and can connect you with an ASU staffer I personally vouch for who can get you the support you need as well as make sure this person is held accountable for what they've done.,E,E,0.68
This type of thing can't be tolerated on any of our campuses.,E,E,0.58
"This week I'm debating which of the two I will start, Sturgis who has proven himself consistent, or Gost who has the better history, and will likely do better with Brady.",E,I,0.65
"As a general rule it's best to read people's algorithms and stat projections, and occasionally the highly upvoted comment.",E,E,0.66
The rest of the peanut gallery will always steer you wrong.,E,I,0.62
Schneizel is definitely better at figuring out moves in advance.,E,I,0.6
I could see the season going down with Lelouch hiding behind the scenes forming Geass contracts alongside C.C. with new people to enact his will upon the world.,E,I,0.64
I try to relate to people by talking about what I'm passionate about in the hopes of either finding out that we share the same passion or by making them passionate about the subject.,E,E,0.75
"Part of my sees it as a crutch as this is what I'm comfortable with, but on the other hand, I mostly want to associate with people who share the same goals, who can help me achieve or my goals, or who I can convince to help me achieve my goals.",E,E,0.62
"It's not that I want to use people for my agenda, it's mostly because I am so passionate about what I want to accomplish that it is really a chore for me to participate in things like small talk because I think deep down I am wasting precious time and energy that I could be using to improve myself or achieve my goals.",E,I,0.75
"Yeah, it would be great if you could act genuinely all the time...but one of my greatest fears is being manipulated, so I tend to put on a facade until I figure the other person out so that I can have the upper hand.",E,I,0.72
"And on that note, I get the impression that you are taking this debate personally and are speaking from emotion so I don't really know what else to say in order to a continue a logical discourse on this issue.",E,I,0.69
He had to keep clean and let Jackie fight his fight.,E,I,0.65
"No other age/gender feels so entitled to behave that way, they're so *blatant* and see nothing shameful in their behavior.",E,E,0.62
"This sort of ruins the full effect of liquid lipstick, but for an everyday makeup I put on lip balm then swab the brush of my KVD liquid lipstick with a qtip, then dot the qtip over my lips and blend the color through my lips/the balm.",E,I,0.62
"A lot of people are stressing comfortable shoes, but really this isn't some sort of hiking/outdoorsy event so you should be fine in any shoes that haven't given you issues before.",E,I,0.55
"Don't wear sneakers or boots, August in New York is hot and you'll feel very uncomfortable.",E,E,0.62
"Moderation is the death of an absolute will to ideological power, and if our will is that of socialism, we cannot dally around with damaging notions such as 'peaceful transitions' and 'a mix of socialism and capitalism is really the best system' because these notions accelerate their moderation to a null point.",E,E,0.66
What on earth would stop the richest capitalist in the region from building the state from the ground up to protect his capital?,E,E,0.66
"Socialism does not preclude leadership, rather Marxists will insist that there are no great men, but rather ripe material conditions that produce these men of action.",E,E,0.68
You can't expect both the people whose entire perception of capitalism is that of a beneficiary and those whose use of capitalism is for the benefit of capitalism itself to seriously want to rescind to the demands of the proletariat when their livelihood and political system built for the purposes of sustaining this livelihood is simply anti-proletariat and pro-bourgeoisie.,E,E,0.72
You're going to get rid of the state without removing the social structures that necessitate the state?,E,E,0.65
It's not unfortunate if I hate something.,E,I,0.57
"I don't want them, and I strongly dislike children - the way they scream, cry, vomit over everything,... gets on my nerves.",E,I,0.64
"After all, it's my body my choice.",E,I,0.62
"Maybe later on in the future, I might secretly get my tubes tied then tell them I'm infertile.",E,I,0.64
But in the end it's all my decision that I don't EVER want one.,E,I,0.62
"I'm very driven, very competent, and very well compensated for my time by my employer.",E,I,0.55
"Guys that appeal to me are somewhat rare, since I need someone who is both interesting/ambitious and not intimidated by me.",E,E,0.6
"I don't want to make promises to people that I will not want to keep, and I do not want to have them keep me from taking opportunities when I meet interesting people that I'd like to get to know better.",E,E,0.72
I would not recommend trying to get a place before you're in the city.,E,I,0.66
Why should anyone feel proud of something that they put no hard work into and is in no way an impressive accomplishment.,E,I,0.65
I do plan things and think about very specific things.,E,I,0.68
Their mantra is that if you don't meet their objective standards for efficiency then you should be terminated from their employment.,E,E,0.53
"I'm not claiming to be an expert, but I at least know my shit.",E,I,0.56
You simply made up an analysis that sounded sophisticated to confirm your bias.,E,I,0.61
I'm an and I see so many ways to fix this.,E,I,0.62
just have to reach in and commit .,E,I,0.58
i'm determined to be the best qwop player that has ever lived .,E,E,0.65
enfield has never been safer with me fighting crime over here .,E,E,0.72
work on the palace begins tomorrow it's so many numbers .,E,I,0.6
stop tweeting me i'm trying to enjoy my last day over here .,E,I,0.62
the older u get the angrier u get ..,E,I,0.6
goodjob cleaning out my closet my homeboi and his epic freestyle show him some love at my youtube channellike and subscribe !,E,E,0.75
i got ppl in my dm telling me if i should join there twitter gang tf !,E,E,0.72
everyone is born with a gift ..,E,I,0.58
i'm redoing my bed room these are the colors after losing three rounds of splatoon back to back june calendar pic calendar pic enjoy !,E,I,0.62
take this test i'm going to get ready to film a sonic news video !,E,E,0.66
i just love that photo i just did a 900 word research report and my computer browser thought it was a good time to quit -_- i feel like i'm walking in the dark i have a headache and i'm hungry .,E,I,0.6
i want to make a gender bent eggman cosplay i think it would be a whole lot of fun thanks !,E,E,0.64
ok so i just finished the second episode of between it was better then the first i just hope it keeps enproveing i'm also starting the 100 holy poop a two faced deer sorry about that i'm watching the 100 i know it's really good so far great a circuit went out -_- this is funny ned ! ! ! ! !,E,E,0.65
i cannot thank leah enough for recommending the deep end of the sea by heather lyons .,E,E,0.62
one of the things on my bucket list is : wing an audition you just found out about aren't you ?,E,E,0.58
the als ice bucket challenge is not a game .,E,I,0.58
what career were you actually meant for ?,E,I,0.62
on very accurate i'm suddenly reminded of the hours i spent stressing over promotional graphics for ruin and rising and the thousands of tweets i made which i'm not very proud of don't think about will traynor i've been having japan-related dreams lately .,E,I,0.68
"Welcome Dr. Buttercup, I got excited when I thought we would be discussing world domination strategies (particularly the formation of a penguin army).",E,E,0.82
And I will 'reign it in' when I no longer have a reason not to.,E,I,0.61
I have heard of the cognitive functions but I have not looked into them yet.,E,I,0.65
Do you suggest any specific resources for getting started looking into that?,E,I,0.62
"In a given setting, I give as many fucks as I believe need given to achieve the most desirable result.",E,I,0.66
How would you type the Gallagher family and their friends?,E,E,0.6
I'd like to figure them out.,E,I,0.62
I can guess is that he is an E.,E,E,0.65
i think NFs are the stereotypical most passionate type but as i said stereotypical so its not true for all cases.,E,I,0.58
Are any types more likely to be liberal?,E,I,0.52
"As much as I want to continue playing mafia non-stop, I mentally wouldn't be able to handle it.",E,I,0.74
It is so much easier to be autonomous.,E,I,0.62
"Despite the constant bickering I cause, it doesn't feel like damage control, or rather feeling obligated to maintain a good atmosphere with others.",E,I,0.62
"I have plenty of thoughts, but I tend to lose interest in writing/talking about them.",E,I,0.72
I dare you to damage your computer with viruses.,E,E,0.62
"I say grow your hair normal for her right until the wedding day, where you show up with a black and purple mohawk and the back of your head shaved with the words FUCK YOU.",E,E,0.63
"Have you tried meditating, yoga and/or some excercise?",E,I,0.62
"You can only benefit from doing these things, regardless of social status.",E,I,0.58
MAIDEN! is a perfect example of an industry based on sentimentality.,E,E,0.65
"this remix tries to be a good tune by hiting the pressure points of actual, real good songs.",E,E,0.58
"First of all, I wouldn't listen to half of the s in this thread.",E,E,0.65
There's like no test out there that tells you your tritype!,E,I,0.58
"My morality is purely circumstantial, I might think in one situation murder is bad, but in another situation murdering would be whats right.",E,I,0.62
"As a Ne-Dom myself, I am biased when I say it's one of the best functions.",E,E,0.92
"You know you're an when you start reading a new book, and within three days you've also started reading like 5 very different totally unrelated other books.",E,E,0.66
Do you mind listing a few things you find inaccurate on socionics theory?,E,I,0.62
"There doesn't seem to be any governing body overseeing the information on socionics over the internet, so it's really just an experimental theory.",E,I,0.62
"Thanks, I'm just looking to broaden my view.",E,E,0.62
How can you form a valid opinion based upon a quick glance.,E,I,0.54
"I don't mean to dig, but I'm trying to get full opinions out of people.",E,E,0.65
"We did break up, I think I was so fixated on finding answers but I need to realize that....there are no answers for everything.",E,I,0.75
I will give him a chance to explain his actions tonight before assuming anything first I guess.,E,E,0.72
"Thank you, I think it's a good time for us to thrash everything out and perhaps I can find out what is really happening.",E,E,0.72
Is it normal to have cheating thoughts?,E,I,0.63
I have been thinking about this for the past few days - am I being too controlling or insecure?,E,I,0.65
"I am a debater, I am the devil's advocate, and so when people complain to me about ANYTHING, I look at it from the perspective of the person who hurt them, saying that it was probably not anything personal and the person has their own issues.",E,I,0.62
"I like to look at the positive always, so when people complain, I seem to argue them and point out what is good or why what they're complaining about happened.",E,E,0.65
"I need to be on reddit, or writing, or analyzing something so that I am not doing nothing.",E,E,0.72
"I need to be writing something at least, because my brain is constantly narrating things.",E,I,0.72
"I can describe things so well on paper or in my head, but I become hard to follow when trying to answer something on the spot outloud.",E,I,0.72
"It was quite fun, especially when the opponent side started struggling to find good counterarguments.",E,E,0.72
Got an A in my 1st language in high school for 'devils-advocating' the shit out of most discussions and debates.,E,E,0.72
"It's not about ""proving a negative"", it's about saying, with a fair amount of certainty, that no such weapons exist in the area and that the weapons of mass-destruction-argument cannot be used as a rationalization for conducting an operation.",E,I,0.63
"It would make no sense to create theory that was meant to identify features of individuals, because that would require one theory for each one of us, with endless numbers of aspects, sometimes unmeasurable or hardly measurable ones.",E,I,0.66
"I would believe that the ""former NSA intern"" would know quite a bit of CIA's inner workings from his three to four years working for them.",E,I,0.62
"I am playing devil's advocate here, but technically I am right.",E,E,0.65
Free speech is more important than your feelings.,E,E,0.72
"By Occam's razor, I am right.",E,I,0.63
"TRY TO BE FAIR AND BALANCED, compare Golden Dawn's murder toll (1) to their death toll (2), the anarchists murder tolls (at least 50 and counting since the Metapolitefsi), and to the amount of suicides by poverty brought by austerity (thousands).",E,I,0.62
"So, you claim that hailing hitler makes you a nazi while getting a third party to ""Tell Panathinaikakias, the tall guy to fuck the next 3 people they bring in"" as the prime minister doesn't?",E,E,0.66
"If I'm wondering about a person's type I usually opt to type them myself, tests aren't the best way to go about it (especially tests that rely on dichotomies).",E,I,0.78
"I may then have the person take a test just to see what comes out of it, but I can be pretty confident in my typing knowledge - also based on how well I know or observe the person.",E,I,0.62
"Ne doms (,) tend to be ambiverts because Ne is a perceiving function that can be widely used by oneself or with others.",E,E,0.55
"i could have written out a shit post with *perfect* capitalization and punctuation, but that wouldn't do much.",E,I,0.68
"i'm stubborn, and i'm interested in feeling and understanding emotion.",E,I,0.62
unfollowed first step is not to be on twitter on april fools day literally bye ur grounded ur grounded too you should stay off twitter today it'll prob only get worse in screaming lmg just put her tweets on notifs and stay off fucick ur the worst omg oh myop fd this isn't even a joke i'm sure this is true this is so me everyone in ptx follow me as a joke bc i prob won't see u in my notifs thank you no omfg scott and mitch already got the impersonations the rest of you can't live up to this standard stop i'm sobbing why r u doing this equator can't wait !,E,E,0.66
"1 i cant stop laufhing that last emoji i think avi's sad his prank has been upstaged im doen the only day i'll ever see "" mitch grassi retweeted your tweet "" in my notifs taylor swift retweeted your tweet this is such a mess hope none of y'all are tweeting g with people who don't want to take part bc that's a shitty move you putting the dashes after the username is killing me when you un-retweet something just to rt it again the ptxcomments twitter is my favorite babe the reason i didn't change my layout is bc i can't reveal that i'm truly one of the ptx members dont u dare still can't believe beyonce follows me hfosjofjsibs korgi's aren't allowed in the us i changed my bio just for today thanks i'm still laughing at equator y'all are pulling the same jokes as this dog love meghan trainor lol april fools cheeseburgers are illegal everywhere ?",E,E,0.68
u just press the wheel next to the following button and press mute u almost got me !,E,E,0.62
biggest loser premiere and a new tosh .,E,E,0.6
50 cent has a book coming out ?,E,E,0.6
police find 8 pounds of marijuana at the home of jerome simpson and he is still playing football .,E,E,0.62
people should not be afraid of their governments .,E,E,0.63
governments should be afraid of their people .,E,E,0.71
training : 3 kapagod uy ayy daw sigeg pataka still got love to a few people i'll never talk to again .,E,I,0.62
